t,x,y
0.233,-0.109,-0.140
0.267,-0.106,-0.142
0.300,-0.104,-0.145
0.333,-9.981E-2,-0.145
0.367,-9.515E-2,-0.145
0.400,-8.675E-2,-0.145
0.433,-7.929E-2,-0.146
0.467,-6.996E-2,-0.147
0.500,-5.877E-2,-0.151
0.533,-4.571E-2,-0.153
0.567,-3.172E-2,-0.157
0.600,-1.493E-2,-0.160
0.633,-9.328E-4,-0.161
0.667,1.959E-2,-0.165
0.700,4.104E-2,-0.170
0.733,6.343E-2,-0.177
0.767,8.675E-2,-0.183
0.800,0.111,-0.188
0.833,0.143,-0.200
0.867,0.171,-0.212
0.900,0.207,-0.221
0.933,0.241,-0.236
0.967,0.279,-0.246
1.000,0.321,-0.258
1.033,0.366,-0.263
1.067,0.411,-0.268
1.100,0.452,-0.268
1.133,0.500,-0.264
1.167,0.542,-0.257
1.200,0.584,-0.253
1.233,0.623,-0.241
1.267,0.660,-0.230
1.300,0.698,-0.219
1.333,0.733,-0.222
1.367,0.770,-0.215
1.400,0.801,-0.218
1.433,0.840,-0.218
1.467,0.870,-0.224
1.500,0.910,-0.230
1.533,0.950,-0.245
1.567,0.987,-0.250
1.600,1.029,-0.262
1.633,1.075,-0.273
1.667,1.123,-0.285
1.700,1.171,-0.292
1.733,1.219,-0.287
1.767,1.271,-0.280
1.800,1.315,-0.274
